time_iso8601,stars_cumulative
2025-06-18 00:00:00+00:00,1
2025-07-29 00:00:00+00:00,2
2025-08-10 00:00:00+00:00,3
2025-11-03 00:00:00+00:00,4
2025-11-15 00:00:00+00:00,5
2026-03-18 00:00:00+00:00,6
2026-04-13 00:00:00+00:00,7
2026-05-07 00:00:00+00:00,8
2026-05-16 00:00:00+00:00,9
2026-06-20 00:00:00+00:00,10
2026-07-18 00:00:00+00:00,12
2026-08-14 00:00:00+00:00,13
