time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-19 00:00:00+00:00,8,3,4,3
2026-03-20 00:00:00+00:00,9,4,1,1
2026-03-21 00:00:00+00:00,12,4,17,1
2026-03-22 00:00:00+00:00,1,1,0,0
2026-03-23 00:00:00+00:00,13,5,14,3
2026-03-24 00:00:00+00:00,8,4,0,0
2026-03-25 00:00:00+00:00,8,4,1,1
2026-03-26 00:00:00+00:00,7,3,1,1
2026-03-27 00:00:00+00:00,7,3,11,3
2026-03-28 00:00:00+00:00,14,6,0,0
2026-03-29 00:00:00+00:00,2,2,36,1
2026-03-30 00:00:00+00:00,14,10,11,5
2026-03-31 00:00:00+00:00,26,14,14,5
2026-04-01 00:00:00+00:00,15,7,10,3
