time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,16,6,2,2
2026-05-05 00:00:00+00:00,34,7,3,2
2026-05-06 00:00:00+00:00,14,5,5,1
2026-05-07 00:00:00+00:00,18,6,20,5
2026-05-08 00:00:00+00:00,42,11,4,3
2026-05-09 00:00:00+00:00,31,10,1,1
2026-05-10 00:00:00+00:00,26,9,1,1
2026-05-11 00:00:00+00:00,3,3,5,2
2026-05-12 00:00:00+00:00,28,7,1,1
2026-05-13 00:00:00+00:00,18,7,1,1
2026-05-14 00:00:00+00:00,18,7,3,1
2026-05-15 00:00:00+00:00,26,9,1,1
2026-05-16 00:00:00+00:00,11,6,15,4
2026-05-17 00:00:00+00:00,14,7,1,1
