time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-26 00:00:00+00:00,7,3,1,1
2026-03-27 00:00:00+00:00,7,3,11,3
2026-03-28 00:00:00+00:00,14,6,0,0
2026-03-29 00:00:00+00:00,2,2,36,1
2026-03-30 00:00:00+00:00,14,10,11,5
2026-03-31 00:00:00+00:00,26,14,14,5
2026-04-01 00:00:00+00:00,15,7,10,3
2026-04-02 00:00:00+00:00,8,4,4,3
2026-04-03 00:00:00+00:00,12,4,3,2
2026-04-04 00:00:00+00:00,21,9,0,0
2026-04-05 00:00:00+00:00,9,5,2,2
2026-04-06 00:00:00+00:00,13,5,1,1
2026-04-07 00:00:00+00:00,9,4,3,3
2026-04-08 00:00:00+00:00,8,4,1,1
