time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-10 00:00:00+00:00,20,7,7,1
2026-07-11 00:00:00+00:00,7,2,2,1
2026-07-12 00:00:00+00:00,12,7,0,0
2026-07-13 00:00:00+00:00,1,1,0,0
2026-07-14 00:00:00+00:00,22,8,1,1
2026-07-15 00:00:00+00:00,16,7,0,0
2026-07-16 00:00:00+00:00,19,6,2,1
2026-07-17 00:00:00+00:00,2,2,5,5
2026-07-18 00:00:00+00:00,45,19,50,11
2026-07-19 00:00:00+00:00,16,5,22,7
2026-07-20 00:00:00+00:00,10,5,46,10
2026-07-21 00:00:00+00:00,21,8,7,4
2026-07-22 00:00:00+00:00,4,4,33,2
2026-07-23 00:00:00+00:00,13,4,3,1
