time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,24,10,4,3
2026-06-12 00:00:00+00:00,8,3,3,2
2026-06-13 00:00:00+00:00,22,7,1,1
2026-06-14 00:00:00+00:00,14,4,11,4
2026-06-15 00:00:00+00:00,14,5,2,1
2026-06-16 00:00:00+00:00,21,7,2,1
2026-06-17 00:00:00+00:00,19,6,1,1
2026-06-18 00:00:00+00:00,28,10,6,3
2026-06-19 00:00:00+00:00,20,5,4,3
2026-06-20 00:00:00+00:00,48,13,7,4
2026-06-21 00:00:00+00:00,28,6,7,2
2026-06-22 00:00:00+00:00,45,10,10,2
2026-06-23 00:00:00+00:00,37,10,6,3
2026-06-24 00:00:00+00:00,27,7,0,0
