time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,13,5,1,1
2026-04-07 00:00:00+00:00,9,4,3,3
2026-04-08 00:00:00+00:00,8,4,1,1
2026-04-09 00:00:00+00:00,14,5,5,4
2026-04-10 00:00:00+00:00,16,7,3,3
2026-04-11 00:00:00+00:00,4,4,0,0
2026-04-12 00:00:00+00:00,30,9,0,0
2026-04-13 00:00:00+00:00,18,8,2,2
2026-04-14 00:00:00+00:00,9,4,0,0
2026-04-15 00:00:00+00:00,24,7,6,3
2026-04-16 00:00:00+00:00,27,10,2,2
2026-04-17 00:00:00+00:00,9,4,2,2
2026-04-18 00:00:00+00:00,7,3,1,1
2026-04-19 00:00:00+00:00,25,9,0,0
