time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,14,5,0,0
2026-05-27 00:00:00+00:00,9,4,2,2
2026-05-28 00:00:00+00:00,15,9,5,2
2026-05-29 00:00:00+00:00,21,8,3,3
2026-05-30 00:00:00+00:00,22,9,3,2
2026-05-31 00:00:00+00:00,16,7,3,1
2026-06-01 00:00:00+00:00,8,3,2,2
2026-06-02 00:00:00+00:00,21,8,3,2
2026-06-03 00:00:00+00:00,10,5,3,2
2026-06-04 00:00:00+00:00,4,4,4,1
2026-06-05 00:00:00+00:00,5,5,4,1
2026-06-06 00:00:00+00:00,8,3,0,0
2026-06-07 00:00:00+00:00,25,7,0,0
2026-06-08 00:00:00+00:00,21,8,4,3
