time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-10 00:00:00+00:00,26,9,1,1
2026-05-11 00:00:00+00:00,3,3,5,2
2026-05-12 00:00:00+00:00,28,7,1,1
2026-05-13 00:00:00+00:00,18,7,1,1
2026-05-14 00:00:00+00:00,18,7,3,1
2026-05-15 00:00:00+00:00,26,9,1,1
2026-05-16 00:00:00+00:00,11,6,15,4
2026-05-17 00:00:00+00:00,14,7,1,1
2026-05-18 00:00:00+00:00,10,5,4,3
2026-05-19 00:00:00+00:00,10,5,2,2
2026-05-20 00:00:00+00:00,21,8,2,2
2026-05-21 00:00:00+00:00,14,8,3,2
2026-05-22 00:00:00+00:00,10,5,2,2
2026-05-23 00:00:00+00:00,13,5,1,1
